,x_name,y_name,protein_uniprot
3235636,CACNA1C,schizophrenia,Q4G0H8
3235637,CACNA1F,schizophrenia,H7C549
3235638,DDR1,schizophrenia,Q96T61
3235639,CACNB2,schizophrenia,A0A494C044
3235640,CALB1,schizophrenia,O75552
3235641,CAMK2B,schizophrenia,Q75LA8
3235642,CASP3,schizophrenia,C9JXR7
3235643,CASP4,schizophrenia,H0YD34
3235644,CAV1,schizophrenia,L8EC89
3235645,CBS,schizophrenia,Q5CCK6
3235646,CCK,schizophrenia,Q6FG82
3235647,CCKAR,schizophrenia,P32238
3235648,CCNA2,schizophrenia,P20248
3235649,CCND2,schizophrenia,A0A6Q8PGZ3
3235650,SEPTIN7,schizophrenia,A0A0U1RQW0
3235651,CDC25C,schizophrenia,Q9H2F0
3235652,CDC42,schizophrenia,P19073
3235653,CDK5,schizophrenia,Q6IAW3
3235654,CDKN1C,schizophrenia,B2D1N3
3235655,CETN1,schizophrenia,Q12798
3235656,CHAT,schizophrenia,A0A1W2PRG4
3235657,CHD4,schizophrenia,A0A2R8Y512
3235658,CHEK1,schizophrenia,Q6W8P8
3235659,CHGA,schizophrenia,G5E968
3235660,CHGB,schizophrenia,A0A0A0MT66
3235661,CHI3L1,schizophrenia,Q9NY39
3235662,CHRM1,schizophrenia,F5GZF8
3235663,CHRM2,schizophrenia,Q96RH0
3235664,CHRM4,schizophrenia,Q96RG8
3235665,CHRM5,schizophrenia,H0YKC0
3235666,CHRNA3,schizophrenia,H0YNF9
3235667,CHRNA4,schizophrenia,Q5RLM1
3235668,CHRNA5,schizophrenia,H0YK34
3235669,CHRNA7,schizophrenia,Q693P7
3235670,CHRNB2,schizophrenia,A0A1B0GUQ6
3235671,CKB,schizophrenia,H0YJJ7
3235672,CLU,schizophrenia,E7ETB4
3235673,CCR5,schizophrenia,A0A089G5S8
3235674,CNP,schizophrenia,K7ERZ0
3235675,CNR1,schizophrenia,Q9BYY6
3235676,CNR2,schizophrenia,A0A024RAH7
3235677,CNTF,schizophrenia,P26441
3235678,COL3A1,schizophrenia,V9GZL2
3235679,COMT,schizophrenia,A0A1S6YJG6
3235680,CP,schizophrenia,Q6NSB2
3235681,CREB1,schizophrenia,Q4ZG78
3235682,CRH,schizophrenia,A0A0S2Z3P5
3235683,CRMP1,schizophrenia,X5DQV1
3235684,CRP,schizophrenia,C9JRE9
3235685,MAPK14,schizophrenia,E7EX54
3235686,CSF2,schizophrenia,P04141
3235687,CSF2RA,schizophrenia,A0A1B4XX95
3235688,CSF2RB,schizophrenia,L0R5A1
3235689,CSNK1E,schizophrenia,B0QY35
3235690,NCAN,schizophrenia,K7EKF8
3235691,CTLA4,schizophrenia,E9L3G3
3235692,CTNNA2,schizophrenia,B8ZZE7
3235693,CTNNB1,schizophrenia,A0A2R8YG06
3235694,CTNND2,schizophrenia,E7EPC8
3235695,CTRL,schizophrenia,Q8IUW0
3235696,CTSK,schizophrenia,H7CEH5
3235697,CYP1A2,schizophrenia,P05177
3235698,CYP2D6,schizophrenia,C4MDQ5
3235699,CYP2E1,schizophrenia,Q4LBD0
3235700,CYP3A4,schizophrenia,Q7Z448
3235701,CYP3A5,schizophrenia,Q96RK7
3235702,DAO,schizophrenia,A0A0S2Z3J4
3235703,DBN1,schizophrenia,A0A2Z6ATB6
3235704,DCC,schizophrenia,Q16218
3235705,ACE,schizophrenia,X4Y8J8
3235706,DIO3,schizophrenia,P55073
3235707,DLG1,schizophrenia,L8E7Z2
3235708,DLG2,schizophrenia,E9PRX3
3235709,DLG3,schizophrenia,Q5JUW8
3235710,DLG4,schizophrenia,Q3ZCU5
3235711,DLX1,schizophrenia,F8VXJ2
3235712,DNM1,schizophrenia,P54861
3235713,DNMT1,schizophrenia,K7ELB1
3235714,DNMT3B,schizophrenia,Q2PJS8
3235715,DPYD,schizophrenia,Q12882
3235716,DRD1,schizophrenia,Q6FH34
3235717,DRD2,schizophrenia,B5BUP4
3235718,DRD3,schizophrenia,Q9NY31
3235719,DRD4,schizophrenia,Q8WXN5
3235720,LPAR1,schizophrenia,B1AP63
3235721,EFNB2,schizophrenia,Q2PDH7
3235722,EGR2,schizophrenia,A0A1B0GUL0
3235723,EGR3,schizophrenia,E5RIM5
3235724,EGR4,schizophrenia,A0A0C4DG96
3235725,EIF2S1,schizophrenia,G3V4T5
3235726,EIF5,schizophrenia,Q05DF3
3235727,ELAVL2,schizophrenia,A0A0A0MRX1
3235728,MARK2,schizophrenia,E9PC69
3235729,EMX2,schizophrenia,A0A087WWJ6
3235730,EN1,schizophrenia,Q05925
3235731,EN2,schizophrenia,P19622
3235732,ENO2,schizophrenia,P00925
3235733,EPHX2,schizophrenia,E5RI53
3235734,ERBB3,schizophrenia,F8VRI5
3235735,ERBB4,schizophrenia,Q4ZG14
3235736,ESR1,schizophrenia,B6DU69
3235737,ESR2,schizophrenia,A0A348FV95
3235738,F2,schizophrenia,H7BX99
3235739,FABP5,schizophrenia,E7DVW5
3235740,FABP7,schizophrenia,O15540
3235741,FBP1,schizophrenia,P09201
3235742,FGF2,schizophrenia,A0A0A0MQV6
3235743,FGFR1,schizophrenia,A0A1V1G971
3235744,FGFR2,schizophrenia,E2I6F9
3235745,FMR1,schizophrenia,R9WPL0
3235746,FOLH1,schizophrenia,Q2VPJ0
3235747,FRA7G,schizophrenia,None
3235748,MTOR,schizophrenia,B1AKP8
3235749,FUT8,schizophrenia,A5PLL2
3235750,FYN,schizophrenia,P78484
3235751,GABBR1,schizophrenia,A0A140TA42
3235752,GABRA1,schizophrenia,A0A1B0GU82
3235753,GABRA4,schizophrenia,D6RB66
3235754,GABRA5,schizophrenia,G3V2Y5
3235755,GABRA6,schizophrenia,H0YBP3
3235756,GABRB1,schizophrenia,X5DNL6
3235757,GABRB2,schizophrenia,A0A6Q8PGD9
3235758,GABRB3,schizophrenia,L8E9G0
3235759,GABRD,schizophrenia,A0A1W2PRY7
3235760,GABRG2,schizophrenia,E5RGJ0
3235761,GABRR1,schizophrenia,F8WB88
3235762,GAD1,schizophrenia,Q04792
3235763,GAD2,schizophrenia,Q5VZ31
3235764,GAP43,schizophrenia,Q5U058
3235765,GC,schizophrenia,D6RBJ7
3235766,GCH1,schizophrenia,A0A024R642
3235767,BLOC1S1,schizophrenia,F8VP73
3235768,GDNF,schizophrenia,A0A0S2Z3T2
3235769,GFAP,schizophrenia,A0A1W2PS58
3235770,GFRA1,schizophrenia,L8ECC2
3235771,GFRA3,schizophrenia,O60609
3235772,CBLIF,schizophrenia,E9PM21
3235773,GJA8,schizophrenia,A0A0U3E7C9
3235774,GCLC,schizophrenia,A0A2R8Y648
3235775,GLO1,schizophrenia,P50107
3235776,GLUL,schizophrenia,A1L199
3235777,GNAL,schizophrenia,K7EQ80
3235778,GNAO1,schizophrenia,A0A1W2PQK2
3235779,GNAS,schizophrenia,A0A590UJG5
3235780,GNB3,schizophrenia,F1T0G4
3235781,GPM6A,schizophrenia,A0A1D5RMS2
3235782,MCHR1,schizophrenia,A6ZJ87
3235783,GRK6,schizophrenia,O70296
3235784,GPS1,schizophrenia,J3QLE8
3235785,GRB2,schizophrenia,Q6ICN0
3235786,GRB10,schizophrenia,A0A2R8Y6Q4
3235787,GRIA1,schizophrenia,C5IJI6
3235788,GRIA2,schizophrenia,G8HBB1
3235789,GRIA3,schizophrenia,A0A087WYJ6
3235790,GRIA4,schizophrenia,G8HBB0
3235791,GRID1,schizophrenia,G3V186
3235792,GRN,schizophrenia,K7EM89
3235793,GRIK1,schizophrenia,E7EPY9
3235794,GRIK2,schizophrenia,Q8IY40
3235795,GRIK3,schizophrenia,Q96SC0
3235796,GRIK4,schizophrenia,A6H8K8
3235797,GRIK5,schizophrenia,M0QXF6
3235798,GRIN2A,schizophrenia,A0A6Q8PHM7
3235799,GRIN2B,schizophrenia,A0A0D9SFA0
3235800,GRIN2C,schizophrenia,Q6PCC5
3235801,GRIN2D,schizophrenia,O15399
3235802,NR3C1,schizophrenia,L8E9L6
3235803,GRM1,schizophrenia,Q13255
3235804,GRM2,schizophrenia,C9JL63
3235805,GRM3,schizophrenia,C9JUH9
3235806,GRM4,schizophrenia,V9GYR3
3235807,GRM5,schizophrenia,G8XUU7
3235808,GRM7,schizophrenia,B9EGG9
3235809,GRM8,schizophrenia,C9J7I1
3235810,GSK3A,schizophrenia,A0A7I2V4Z1
3235811,GSK3B,schizophrenia,A0A7I2YQ81
3235812,GSN,schizophrenia,A0A0U1RQL8
3235813,GSTA1,schizophrenia,P08263
3235814,GSTM1,schizophrenia,X5DNN9
3235815,GSTM2,schizophrenia,Q0D2I8
3235816,GSTP1,schizophrenia,C7DJS2
3235817,GSTT1,schizophrenia,A0A0G2JQD2
3235818,GSTT2,schizophrenia,Q6IB75
3235819,H1-4,schizophrenia,P43274
3235820,H1-5,schizophrenia,P43276
3235821,H2AX,schizophrenia,P16104
3235822,HAGH,schizophrenia,H3BQW8
3235823,HCRTR1,schizophrenia,A6NMV7
3235824,HDAC1,schizophrenia,B5MGH2
3235825,HDAC2,schizophrenia,B5MGH3
3235826,NRG1,schizophrenia,Q03125
3235827,HINT1,schizophrenia,A0A6Q8PGQ8
3235828,HK1,schizophrenia,A0A2R8Y626
3235829,HLA-A,schizophrenia,A0A0U5L7I7
3235830,HLA-B,schizophrenia,A0A1G4HPT5
3235831,HLA-C,schizophrenia,A0A288QRN1
3235832,HLA-DQB1,schizophrenia,A0A1X9I5C5
3235833,HLA-DRB1,schizophrenia,A0A678ZDJ7
3235834,HLA-E,schizophrenia,I3RW89
3235835,HLA-J,schizophrenia,None
3235836,HMGA1,schizophrenia,A0A669KAX1
3235837,HMOX1,schizophrenia,A0A7I2V3M0
3235838,HP,schizophrenia,Q6NSB4
3235839,HRH1,schizophrenia,C9J2E6
3235840,HSPA1A,schizophrenia,V9GZ37
3235841,HSPA1B,schizophrenia,A0A0G2JIW1
3235842,HSPA1L,schizophrenia,Q53FA3
3235843,HSPA9,schizophrenia,H0Y8S0
3235844,HTR1A,schizophrenia,D6RA34
3235845,HTR1F,schizophrenia,Q9P2Q4
3235846,HTR2A,schizophrenia,B3VRB5
3235847,HTR2C,schizophrenia,Q7Z579
3235848,HTR3A,schizophrenia,B3VRH0
3235849,HTR4,schizophrenia,E5RHV8
3235850,HTR5A,schizophrenia,Q75LH0
3235851,HTR6,schizophrenia,P50406
3235852,HTR7,schizophrenia,P34969
3235853,ICAM1,schizophrenia,Q14601
3235854,IDE,schizophrenia,G8FSY5
3235855,IFNG,schizophrenia,A8YQE4
3235856,IGF2,schizophrenia,E3UN46
3235857,IL1B,schizophrenia,C9JWV2
3235858,IL2,schizophrenia,Q91Y89
3235859,IL2RA,schizophrenia,H0Y5Z0
3235860,IL2RG,schizophrenia,Q5FC13
3235861,IL3,schizophrenia,Q6NZ79
3235862,IL3RA,schizophrenia,J3JS34
3235863,IL4,schizophrenia,Q9UPB9
3235864,IL6,schizophrenia,A0A1C9J7V2
3235865,IL6R,schizophrenia,H0Y9B1
3235866,IL10,schizophrenia,Q6FGS9
3235867,IL10RA,schizophrenia,E9PPU4
3235868,IL12B,schizophrenia,A0A0C5PF35
3235869,IL18,schizophrenia,B0YJ28
3235870,IMPA2,schizophrenia,Q9UPE5
3235871,INPP5A,schizophrenia,Q149S6
3235872,ITGAM,schizophrenia,A0A3T1DF60
3235873,ITGB3,schizophrenia,F2X0V0
3235874,ITIH1,schizophrenia,H7C5I0
3235875,ITIH3,schizophrenia,A0A087WW43
3235876,JAG2,schizophrenia,A0A0B6XK26
3235877,JARID2,schizophrenia,Q92833
3235878,JUN,schizophrenia,Q6FHK0
3235879,KCNB1,schizophrenia,A0A1B0GTM8
3235880,KCNH2,schizophrenia,A0PJW5
3235881,KCNJ3,schizophrenia,Q53R59
3235882,KCNN3,schizophrenia,Q86VF8
3235883,KCNQ2,schizophrenia,A0A0G2JR60
3235884,KCNQ3,schizophrenia,A0A1W2PNZ2
3235885,KCNS3,schizophrenia,L8E8W4
3235886,KDR,schizophrenia,A0A0U2VU55
3235887,KIF2A,schizophrenia,D6R9M0
3235888,KPNA1,schizophrenia,L8EC94
3235889,KPNA3,schizophrenia,A0A024RDV7
3235890,IPO5,schizophrenia,E7EQT5
3235891,LAMA2,schizophrenia,A0A1P8NQC0
3235892,LASP1,schizophrenia,C9J9W2
3235893,LCN2,schizophrenia,X6R8F3
3235894,LEP,schizophrenia,D3HIE0
3235895,LIFR,schizophrenia,D6RF33
3235896,LMX1A,schizophrenia,Q6NZ39
3235897,LMX1B,schizophrenia,Q6ISE0
3235898,LPL,schizophrenia,Q6IAV0
3235899,LRP1,schizophrenia,P38801
3235900,LRP2,schizophrenia,Q53TL0
3235901,LSAMP,schizophrenia,C9J5G3
3235902,LTA,schizophrenia,A0A286SD61
3235903,SMAD5,schizophrenia,D6RBB4
3235904,MAG,schizophrenia,M0R3I4
3235905,MAOA,schizophrenia,A0A1W5KJW8
3235906,MAOB,schizophrenia,Q8TBI1
3235907,MAP6,schizophrenia,Q96JE9
3235908,MBNL1,schizophrenia,H7C4Y1
3235909,MBP,schizophrenia,F8WEU6
3235910,MC5R,schizophrenia,P33032
3235911,MDH1,schizophrenia,P17505
3235912,MDK,schizophrenia,Q2LEK2
3235913,ME2,schizophrenia,A0A1W2PRH1
3235914,MET,schizophrenia,B5A933
3235915,MICB,schizophrenia,A0A7D9H880
3235916,KMT2A,schizophrenia,A0A4D6WIU0
3235917,TRPM1,schizophrenia,C9EH86
3235918,MMP3,schizophrenia,E9PKX2
3235919,MMP9,schizophrenia,P14780
3235920,MOG,schizophrenia,H7BYC0
3235921,MSRA,schizophrenia,E5RJK1
3235922,MTHFD1,schizophrenia,V9GY75
3235923,MTHFR,schizophrenia,A0MPA5
3235924,ND4,schizophrenia,A0A141CM50
3235925,MTNR1A,schizophrenia,Q8WZ72
3235926,MTR,schizophrenia,A0A494C1A2
3235927,MYO5B,schizophrenia,Q7Z7A5
3235928,MYO9B,schizophrenia,M0R300
3235929,NCAM1,schizophrenia,L8ECP3
3235930,NDP,schizophrenia,Q00604
3235931,NDUFS1,schizophrenia,Q9P1A0
3235932,NDUFV1,schizophrenia,E9PJL9
3235933,NDUFV2,schizophrenia,Q9UEH5
3235934,NEFL,schizophrenia,A0A0S2Z4B1
3235935,NEUROG1,schizophrenia,F1T0H3
3235936,NGFR,schizophrenia,P08138
3235937,NQO2,schizophrenia,A2A2U4
3235938,NNMT,schizophrenia,Q6FH49
3235939,NOS1,schizophrenia,A0PJJ7
3235940,NPY,schizophrenia,A4D158
3235941,NOTCH4,schizophrenia,Q6P3V5
3235942,NPAS1,schizophrenia,M0R1R8
3235943,NPAS2,schizophrenia,A2I2P5
3235944,NPY1R,schizophrenia,D6RHH6
3235945,NRGN,schizophrenia,A0A024R3M7
3235946,NTF3,schizophrenia,P20783
3235947,NTRK1,schizophrenia,A0A6Q8PGU5
3235948,NTRK2,schizophrenia,Q8WXJ4
3235949,NTRK3,schizophrenia,O95192
3235950,NTS,schizophrenia,G3V1X6
3235951,NTSR1,schizophrenia,P30989
3235952,NR4A2,schizophrenia,C0KWD2
3235953,OPA1,schizophrenia,A0A2R8Y514
3235954,OPCML,schizophrenia,B7ZLQ0
3235955,OPRM1,schizophrenia,O43185
3235956,OXT,schizophrenia,X5D7M6
3235957,OXTR,schizophrenia,L8E6Y2
3235958,PAFAH1B1,schizophrenia,A0A6Q8PG63
3235959,PAH,schizophrenia,Q16267
3235960,PAK2,schizophrenia,H9XFB4
3235961,PAWR,schizophrenia,L8E7E1
3235962,PAX6,schizophrenia,Q6VMN9
3235963,PCDH8,schizophrenia,A0A024QZ94
3235964,PCK1,schizophrenia,P10963
3235965,PCM1,schizophrenia,P38628
3235966,PCNT,schizophrenia,H7C2A3
3235967,CDK16,schizophrenia,E5RGN0
3235968,PDE4A,schizophrenia,Q9HC31
3235969,PDE4B,schizophrenia,X5DPA9
3235970,PDE4D,schizophrenia,D6RIG1
3235971,PDGFRB,schizophrenia,E5RH16
3235972,PDYN,schizophrenia,A0A494C0Y8
3235973,PDZK1,schizophrenia,A0A0C4DG67
3235974,ABCB1,schizophrenia,A8E2S6
3235975,PHB,schizophrenia,Q6FHP5
3235976,SERPINI1,schizophrenia,A0A0S2Z463
3235977,PIK3C3,schizophrenia,A0A1W2PS05
3235978,PIK3CA,schizophrenia,A0A6B9QKK2
3235979,PIK3CB,schizophrenia,Q6PJ60
3235980,PI4KA,schizophrenia,C9JLI1
3235981,PIP4K2A,schizophrenia,S4R320
3235982,PITX3,schizophrenia,A0A0B5HP33
3235983,PLA2G1B,schizophrenia,F8W062
3235984,PLA2G4A,schizophrenia,W0FXB0
3235985,PLAT,schizophrenia,B8ZX62
3235986,PLG,schizophrenia,A0A0F7G8J1
3235987,FXYD1,schizophrenia,C7E9P5
3235988,PLP1,schizophrenia,Q04004
3235989,PLXNA2,schizophrenia,O75051
3235990,PML,schizophrenia,H3BT57
3235991,PMP2,schizophrenia,P40975
3235992,PON1,schizophrenia,Q96P91
3235993,PPARA,schizophrenia,L8E859
3235994,PPIA,schizophrenia,C9J5S7
3235995,PPP3CC,schizophrenia,E5RJH4
3235996,PPP3R1,schizophrenia,D3YTA9
3235997,PRKCA,schizophrenia,A0A169TED2
3235998,MAPK1,schizophrenia,Q499G7
3235999,MAPK3,schizophrenia,Q9BWJ1
3236000,MAPK8,schizophrenia,B5BUB8
3236001,MAP2K7,schizophrenia,D6W660
3236002,PRL,schizophrenia,A0A494C0Z0
3236003,PRODH,schizophrenia,A0A481ZII7
3236004,RELN,schizophrenia,L8E7R1
3236005,PSD,schizophrenia,L0R6N0
3236006,PSEN2,schizophrenia,A0A7I2V4Y6
3236007,PTGER3,schizophrenia,B2KKV4
3236008,PTGS1,schizophrenia,A0A2R8Y6S0
3236009,PTGS2,schizophrenia,D9MWI3
3236010,PTPN1,schizophrenia,A8K3M3
3236011,PTPN6,schizophrenia,F5H0N8
3236012,PTPRA,schizophrenia,A0A1S5UZ22
3236013,PTPRZ1,schizophrenia,A0A494C0V2
3236014,PVALB,schizophrenia,B1AH72
3236015,RARA,schizophrenia,Q15997
3236016,RBP1,schizophrenia,A0A0A0MTB9
3236017,RELA,schizophrenia,Q96F54
3236018,REST,schizophrenia,L0B1R5
3236019,RGS2,schizophrenia,Q99188
3236020,RGS12,schizophrenia,Q3B858
3236021,RHD,schizophrenia,Q2YHU8
3236022,S100A9,schizophrenia,P06702
3236023,S100B,schizophrenia,A0A0S2Z4C5
3236024,ATXN2,schizophrenia,A0A2R8YDM9
3236025,CCL2,schizophrenia,J3KRT7
3236026,SDHA,schizophrenia,A0A087X1I3
3236027,SRSF1,schizophrenia,J3KSW7
3236028,SHMT1,schizophrenia,J3KRZ5
3236029,ST3GAL1,schizophrenia,E5RHV6
3236030,SLC1A1,schizophrenia,H0Y7R2
3236031,SLC1A2,schizophrenia,A0A2R8Y4W1
3236032,SLC1A3,schizophrenia,Q8N169
3236033,SLC1A6,schizophrenia,M0QY32
3236034,SLC6A1,schizophrenia,C9J5P8
3236035,SLC6A2,schizophrenia,Q9BW84
3236036,SLC6A3,schizophrenia,Q9Y610
3236037,SLC6A4,schizophrenia,B3VRV5
3236038,SLC6A9,schizophrenia,J3KPA5
3236039,SLC6A11,schizophrenia,P48066
3236040,SLC6A12,schizophrenia,F5H2T6
3236041,SLC12A2,schizophrenia,G3XAL9
3236042,SLC18A1,schizophrenia,E5RK12
3236043,SLC18A2,schizophrenia,Q05940
3236044,SLIT3,schizophrenia,L8E8Y7
3236045,SMARCA2,schizophrenia,A0A0U1RR45
3236046,SNCB,schizophrenia,A0A024R7R3
3236047,SOD2,schizophrenia,P00447
3236048,SOX5,schizophrenia,F5H0I3
3236049,SOX10,schizophrenia,H0Y5N4
3236050,SP1,schizophrenia,Q15403
3236051,SP4,schizophrenia,L0R552
3236052,SPTBN2,schizophrenia,C1KC08
3236053,SRD5A2,schizophrenia,P31213
3236054,SREBF1,schizophrenia,F6V242
3236055,SREBF2,schizophrenia,A0A087X1T2
3236056,SST,schizophrenia,P61278
3236057,STX1A,schizophrenia,X5D7S1
3236058,STXBP1,schizophrenia,A0A1B0GW76
3236059,SYN1,schizophrenia,A0A1W2PS00
3236060,SYN2,schizophrenia,A0A087WW91
3236061,SYP,schizophrenia,H7C4W3
3236062,TAC1,schizophrenia,P20366
3236063,TACR3,schizophrenia,Q0IIN4
3236064,TAP1,schizophrenia,Q69DM1
3236065,TAP2,schizophrenia,Q15547
3236066,TAPBP,schizophrenia,A0A140T9B2
3236067,TBX1,schizophrenia,A0A7P0Z4A3
3236068,TBP,schizophrenia,Q6UKI1
3236069,TCF4,schizophrenia,A0A1B0GUT3
3236070,TCF7L2,schizophrenia,H0YEE5
3236071,TDO2,schizophrenia,D6RB68
3236072,TF,schizophrenia,F8WEK9
3236073,TGFB1,schizophrenia,A0A078BCJ0
3236074,TGM2,schizophrenia,Q6DKH2
3236075,THBS1,schizophrenia,A0PJG0
3236076,TLR2,schizophrenia,D2JYJ4
3236077,TLR3,schizophrenia,Q6PCD4
3236078,TLR4,schizophrenia,D2JYI4
3236079,NR2E1,schizophrenia,A6PVF6
3236080,TSPAN8,schizophrenia,P19075
3236081,CLDN5,schizophrenia,D3DX19
3236082,TNF,schizophrenia,B5BUQ6
3236083,TNFRSF1A,schizophrenia,Q6Y4Q7
3236084,TNFRSF1B,schizophrenia,A0A0K1RN68
3236085,TNXB,schizophrenia,A0A140T9L7
3236086,TP53,schizophrenia,A0A346XLQ1
3236087,TPH1,schizophrenia,B3VRX5
3236088,TPI1,schizophrenia,P00942
3236089,TPT1,schizophrenia,Q12272
3236090,TYR,schizophrenia,U3M8N0
3236091,UCP2,schizophrenia,F5GX45
3236092,UFD1,schizophrenia,P53044
3236093,VIP,schizophrenia,H0Y763
3236094,VIPR2,schizophrenia,X5DP12
3236095,VLDLR,schizophrenia,A0A7P0TA42
3236096,VRK2,schizophrenia,Q05CR6
3236097,VSNL1,schizophrenia,Q4ZFX3
3236098,XBP1,schizophrenia,P40489
3236099,XRCC1,schizophrenia,M4WET6
3236100,XRCC4,schizophrenia,A0A024RAQ8
3236101,YWHAE,schizophrenia,I3L0W5
3236102,ZIC2,schizophrenia,A0A024RDY6
3236103,ZNF74,schizophrenia,C9J3V1
3236104,SLC30A3,schizophrenia,H7BZ83
3236105,LRP8,schizophrenia,A0A590UK84
3236106,FZD3,schizophrenia,E5RGI9
3236107,ADAM12,schizophrenia,U5NE98
3236108,ST8SIA2,schizophrenia,G3V2T1
3236109,NRIP1,schizophrenia,A0A1B0GUG9
3236110,DGCR6,schizophrenia,X5D9I2
3236111,ESS2,schizophrenia,F8WEF8
3236112,SYN3,schizophrenia,A0A0A0MR68
3236113,TRRAP,schizophrenia,Q8N563
3236114,BRAP,schizophrenia,J3KNN7
3236115,MAD1L1,schizophrenia,C9J9H5
3236116,PLA2G6,schizophrenia,A0A3T0ZC00
3236117,GNPAT,schizophrenia,A0A2R8YH69
3236118,RGS5,schizophrenia,E9PS96
3236119,ITGA8,schizophrenia,P53708
3236120,DDO,schizophrenia,F2Z2E0
3236121,BHLHE40,schizophrenia,O14503
3236122,KMO,schizophrenia,Q9BS61
3236123,PLA2G4C,schizophrenia,Q76EY9
3236124,UNC5C,schizophrenia,Q4W5H4
3236125,BECN1,schizophrenia,K7EMA2
3236126,TNFSF13,schizophrenia,Q6FGR7
3236127,RGS9,schizophrenia,Q4G1B2
3236128,IL18R1,schizophrenia,A0A089VIW4
3236129,SYNGAP1,schizophrenia,A0A1B0GU28
3236130,SOCS2,schizophrenia,B5BU82
3236131,HDAC3,schizophrenia,B5MGH4
3236132,HCAR3,schizophrenia,A0A4Y1JWR6
3236133,CDK5R1,schizophrenia,Q8TAM4
3236134,ALDH1A2,schizophrenia,H0YMT5
3236135,PHOX2B,schizophrenia,A0A455R6J4
3236136,MBD2,schizophrenia,J3KSA7
3236137,TOP3B,schizophrenia,H7C4B0
3236138,SELENBP1,schizophrenia,F8WCR4
3236139,MPZL1,schizophrenia,A0A024R8Y3
3236140,SYNGR1,schizophrenia,L0R6Q9
3236141,SLC6A5,schizophrenia,Q6LC25
3236142,TMSB10,schizophrenia,D6W5K2
3236143,HTR3B,schizophrenia,B3VRK5
3236144,DCLK1,schizophrenia,Q5VZY9
3236145,MAGI1,schizophrenia,H7C5T8
3236146,DLGAP2,schizophrenia,A0A0J9YY63
3236147,DLGAP1,schizophrenia,A0A0A0MTP4
3236148,GPR50,schizophrenia,Q7Z581
3236149,NUMBL,schizophrenia,M0QZV7
3236150,CD163,schizophrenia,H0YGZ7
3236151,SNAP29,schizophrenia,L8E847
3236152,NDST3,schizophrenia,O95803
3236153,NRXN3,schizophrenia,G3V4R9
3236154,PLAA,schizophrenia,H0YC16
3236155,NRXN1,schizophrenia,A0A6Q8PFA2
3236156,NRXN2,schizophrenia,H7C3J4
3236157,FADS2,schizophrenia,F5H622
3236158,QKI,schizophrenia,F5GYT7
3236159,HOMER2,schizophrenia,H0YNR9
3236160,HOMER1,schizophrenia,Q5U5K4
3236161,PICK1,schizophrenia,A0A024R1R7
